id,condition,norm,profile,age,gender,norm_perc,disclosure
1,n0_p20,n0,p20,25,1,NA,5
2,n20_p20,n20,p20,29,1,6.75,6
3,n0_p0,n0,p0,30,0,6,6.5
4,n20_p80,n20,p80,28,1,6.083333333333333,6
5,n20_p20,n20,p20,28,0,7,7
6,n0_p80,n0,p80,36,1,3.4545454545454546,3.5
7,n20_p20,n20,p20,30,0,3.1666666666666665,1.8333333333333333
8,n20_p80,n20,p80,27,0,5.833333333333333,5.5
9,n0_p80,n0,p80,35,1,1,1.5
10,n80_p80,n80,p80,22,0,4.75,4.666666666666667
11,n20_p0,n20,p0,60,1,1,2
12,n0_p0,n0,p0,51,0,5.166666666666667,6
13,n20_p80,n20,p80,30,1,5.583333333333333,2.5
14,n80_p80,n80,p80,30,0,5.5,6
15,n0_p80,n0,p80,34,0,1.1666666666666667,1.6666666666666667
16,n20_p0,n20,p0,24,1,5.25,5.166666666666667
17,n80_p0,n80,p0,29,1,6.2727272727272725,1.6666666666666667
18,n20_p0,n20,p0,25,1,1.25,1
19,n80_p0,n80,p0,27,1,5.75,1
20,n0_p0,n0,p0,30,1,5.75,5.833333333333333
21,n80_p80,n80,p80,27,1,5.916666666666667,5.666666666666667
22,n80_p80,n80,p80,39,0,6.333333333333333,2.6666666666666665
23,n20_p0,n20,p0,68,1,3.8333333333333335,2
24,n20_p0,n20,p0,27,1,3.6666666666666665,5.333333333333333
25,n80_p80,n80,p80,39,1,5.75,2
26,n0_p0,n0,p0,25,1,1.3333333333333333,2.1666666666666665
27,n0_p80,n0,p80,35,0,2.8333333333333335,2.6666666666666665
28,n0_p20,n0,p20,27,1,4.666666666666667,4.833333333333333
29,n20_p0,n20,p0,41,0,5.75,6.333333333333333
30,n0_p0,n0,p0,30,0,5.666666666666667,5.333333333333333
31,n20_p20,n20,p20,30,1,4.666666666666667,6.166666666666667
32,n80_p0,n80,p0,46,0,5.75,4.333333333333333
33,n0_p0,n0,p0,26,0,1.3333333333333333,1.6666666666666667
34,n20_p80,n20,p80,37,1,3.1666666666666665,3.5
35,n80_p0,n80,p0,36,0,6.333333333333333,2
36,n20_p0,n20,p0,27,0,5,4
37,n0_p20,n0,p20,42,0,2.6666666666666665,3.3333333333333335
38,n80_p20,n80,p20,49,0,5.916666666666667,5.5
39,n80_p20,n80,p20,56,1,7,2.5
40,n20_p20,n20,p20,64,1,5,1
41,n80_p80,n80,p80,37,1,6.75,4.333333333333333
42,n20_p80,n20,p80,69,1,6.25,1
43,n80_p0,n80,p0,27,1,4.333333333333333,4.333333333333333
44,n0_p0,n0,p0,49,0,2,2.1666666666666665
45,n0_p20,n0,p20,25,1,2.5,2.6666666666666665
46,n80_p0,n80,p0,37,1,6.833333333333333,5.666666666666667
47,n20_p0,n20,p0,24,0,4.75,3.8333333333333335
48,n20_p20,n20,p20,70,1,6.416666666666667,3.8333333333333335
49,n0_p80,n0,p80,34,0,1.4166666666666667,1.6666666666666667
50,n80_p20,n80,p20,35,1,6.166666666666667,2
51,n20_p20,n20,p20,53,0,4,2.3333333333333335
52,n80_p80,n80,p80,31,0,6.083333333333333,1.3333333333333333
53,n80_p0,n80,p0,33,0,5.083333333333333,4.833333333333333
54,n20_p80,n20,p80,24,1,4.5,3.1666666666666665
